hour_of_day,trader_id,avg_pnl,trade_count
4,3HsJ7yVz4nQ6oW8tS5gL2fN9rH1eK6mC8xM5vBdEwRuG,36.1,1
16,2PrM8xUz6oT5nY7vR4jL3gP1sH9eN4mD6zK8wCfGxQuH,-127.0,1
16,4WqP8zYx5nT7mU9tS2lN6jM3rK1gH4oC8yL5vEfJxRwK,-60.2,1
16,5TpQ9yXz7mS6oV8uR3kM2hN4rJ1fL5nE7xP6wDgHySvI,2980.0,1
16,8QtN2xWy5lR7mV9uT6hK3eM4pG1fJ8nB7zL4wVcDxSeF,29.0,1
18,7KNXqvHu2QWvDq8cGPGvKZhFvYnz3kQ5mL8xRt2Bp9uV,69.0,3
19,5FxM2nQwP4vYkL9mT3xRd8eJbWp7sN6gH2cKt9uVfXyZ,-252.0,1
20,9DpT3vHx5kN2qL8mR7wYfJ6bP4sE1cG9nZ5tK3uVwXyA,199.0,1
21,4MqL8vYx2kP9nT7wR5fH3bJ6sE1cG4nZ8tK2uVwXyBpQ,1990.0,1
22,6NrK9wZx3mQ8pU7vS4gI2dL5tF1eH7oA9yM3xVbCwRtE,-254.0,1
